"east" "north" "yield" "treatment"
317934.84 6093795.27 6.09780960400708 "control"
317966.62 6093757.63 6.14632532060556 "control"
317939.6 6093740.1 6.22371775618846 "control"
317901.7 6093761.3 5.90650701756617 "control"
317966.33 6093749.3 5.84873604430905 "control"
317966.22 6093741.2 5.88791846208641 "control"
317901.29 6093750.2 5.65319950944177 "control"
317901.06 6093739.1 5.85819534272815 "control"
317934.59 6093785.17 6.09520389029043 "control"
317951.09 6093859.08 5.94662792867095 "control"
317831.41 6093760.98 6.18101232270574 "control"
317897.63 6093751.23 6.17915606046419 "control"
317917.55 6093911.88 5.88317610237029 "control"
317842.06 6093930.43 5.93193516611679 "control"
317848.23 6093939.66 5.83689697009374 "control"
317845.88 6093948.15 6.04724195609471 "control"
317863.46 6093830.44 6.36393649991016 "control"
317867.31 6093743.96 6.24520476115065 "control"
317862.79 6093796.25 6.18795802120495 "control"
317844.4 6093895.52 6.42735243592715 "control"
317938.04 6093776.36 6.02642976823389 "control"
317948.72 6093850.48 6.2433792177798 "control"
317940.17 6093756.76 6.97422161303612 "control"
317842.29 6093945.97 6.3857955787501 "control"
317934.52 6093788.6 7.07565558674989 "control"
317969.39 6093764.23 5.81940947417534 "control"
317918.42 6093945.3 5.77771628422405 "control"
317966.69 6093763.18 5.80983528027034 "control"
317954.55 6093836.95 6.60114793308328 "control"
317901 6093741.87 6.53859154248184 "control"
317900.67 6093722.67 6.2929098587576 "control"
317917.49 6093914.77 6.10747386567456 "control"
317968.51 6093820.81 5.87325262537577 "control"
317844.87 6093904.08 6.28012266543505 "control"
317848.49 6093953.87 6.49963586184486 "control"
317917.05 6093900.89 5.76747887318426 "control"
317937.77 6093763.15 6.05256411297897 "control"
317898.16 6093778.99 6.22508088577476 "control"
317936.82 6093733.72 6.70281420662953 "control"
317954.34 6093833.4 6.64028887405928 "control"
317965.83 6093724.88 6.32445938791361 "control"
317861.91 6093759.39 6.05393982157356 "control"
317901.87 6093775.4 6.13737768099875 "control"
317936.74 6093723.95 6.28726288499058 "control"
317847.68 6093922.44 6.33604292885432 "control"
317968.65 6093724.94 6.0261362903975 "control"
317969.77 6093777.11 6.32063790018634 "control"
317881.78 6093922.58 6.12739425661536 "control"
317969.65 6093774.01 6.14567159866014 "control"
317965.7 6093722.1 6.36693011866497 "control"
317844.87 6093908.29 6.48621896929019 "control"
317843.91 6093866.11 6.26004617998354 "control"
317831.45 6093758.99 6.17563192938877 "control"
317848.27 6093942.43 6.99548492751339 "control"
317833.02 6093815.61 6.68285699342299 "control"
317876.71 6093858.89 6.84701152377635 "control"
317935.41 6093825.47 6.22345697683352 "control"
317838.75 6093918.71 5.98632973803256 "control"
317933.55 6093751.41 5.87693022381261 "control"
317941.3 6093813.16 6.2948752815211 "control"
317938.35 6093792.57 6.42413674280543 "control"
317845.59 6093935.5 6.17551795793841 "control"
317862 6093767.93 6.26504986837304 "control"
317882.34 6093854.68 6.69777970577079 "control"
317929.8 6093721.26 6.06640817027241 "control"
317937.65 6093759.82 6.13408489797398 "control"
317939.62 6093743.43 6.02267485844055 "control"
317830.6 6093814.23 6.91828103366522 "control"
317910.06 6093850.81 5.80109093472832 "control"
317935.16 6093815.14 6.20233022239597 "control"
317967.49 6093790.83 6.42553568953418 "control"
317932.94 6093812.43 6.61442074963219 "control"
