Easting	Northing
317006.43	6088789.73
316933.55	6088751.41
316788.22	6088796.39
316803.72	6088852.19
316941.3	6088813.16
316791.02	6088805.88
316938.35	6088792.57
316787.04	6088742.55
316802.83	6088905.11
316808.58	6088881.7
316845.59	6088935.5
316862	6088767.93
316882.34	6088854.68
316929.8	6088721.26
316937.65	6088759.82
316939.62	6088743.43
317020.17	6088905.76
316810.09	6088937.22
316830.6	6088814.23
316910.06	6088850.81
316935.16	6088815.14
316967.49	6088790.83
316984	6088859.74
317020.05	6088898.21
316803.07	6088915.77
316932.94	6088812.43
317005.42	6088750.1
316801.62	6088839.17
316796.88	6088817.32
316841.82	6088923.99
316987.3	6088836.17
316969.51	6088767.57
316831.36	6088763.42
316934.97	6088802.15
316794	6088789.08
317002.47	6088725.29
316805.39	6088922.14
316842.06	6088934.87
316915.46	6088831.5
317026.01	6088855.6
316838.63	6088901.95
316843.86	6088864.11
316864.79	6088729.37
316811.86	6088930.37
316968.3	6088715.16
316841.31	6088899.9
316847.17	6088902.46
316916.75	6088884.12
316935.29	6088822.13
316972.82	6088738.89
316975.23	6088731.95
317013.22	6088809.51
316811.96	6088934.7
316844.83	6088906.07
316898.21	6088776.21
316929.66	6088714.71
317009.98	6088789.81
316789.15	6088741.48
316825.49	6088752.43
316807.41	6088836.51
316831.68	6088769.76
316990.1	6088863.97
316990.44	6088878.52
316991.88	6088932.81
317005.63	6088757.54
316873.98	6088863.39
316921.02	6088960.34
316939.17	6088729.88
316972.24	6088722.46
317010.97	6088821.67
317012.52	6088789.86
316966.4	6088754.85
317004.72	6088816
316802.54	6088888.01
316865.56	6088772.11
316951.68	6088866.08
317025.9	6088847.83
317028.46	6088945.32
316790.8	6088803.66
316839.5	6088832.61
316901.17	6088733.77
316939.28	6088733.22
316951.97	6088882.95
316987.81	6088842.62
317003.26	6088762.26
316801.67	6088841.39
316948.35	6088837.38
316933.87	6088758.07
316860.5	6088716.63
316992.27	6088945.03
317019.41	6088876.33
316795.91	6088766.92
316826.69	6088796.07
316791.26	6088812.32
316945.86	6088834.89
316832.89	6088813.39
316935.09	6088805.26
317018.66	6088837.15
316938.3	6088786.13
316844.49	6088891.31
316938.56	6088795.9
317003.41	6088768.37
317003.17	6088758.04
316936.43	6088717.29
316933.09	6088737.97
316838.11	6088878.75
316863.17	6088813.23
316868.73	6088794.92
316969.97	6088780.45
316989.72	6088851.54
317019.03	6088859.01
317022.28	6088945.42
316917.62	6088917.54
316825.4	6088747.99
316860.03	6088789.2
316876	6088942.77
316874.11	6088874.93
316989.4	6088844.54
317019.25	6088861.57
317011.39	6088742.89
316897.36	6088728.92
316970.34	6088793.66
317028.49	6088953.09
316845.64	6088937.61
316972.77	6088745.55
316988.81	6088891.69
317025.39	6088863.58
316991.94	6088930.15
317010.46	6088802.02
317025.5	6088876.12
316810.29	6088949.65
316838.88	6088920.93
316902.79	6088805.94
317002.82	6088743.83
316845.35	6088929.28
316833.07	6088817.84
316936.93	6088737.05
316955.53	6088873.37
316825.12	6088734.78
316861.94	6088762.05
316844.39	6088887.09
316869.17	6088808.92
316954.92	6088850.05
316972.38	6088729.12
316936.63	6088720.62
316788.65	6088810.83
317004.91	6088730.33
316939.06	6088726.55
317025.22	6088858.7
316967.33	6088785.28
316830.74	6088820.56
316838.25	6088885.3
316879.14	6088832.98
316909.46	6088835.81
316954.59	6088830.29
317026.27	6088905.33
317005.3	6088742.55
316805.44	6088919.92
316875.74	6088928.79
316899.28	6088826.4
317010.02	6088792.36
317008.69	6088741.17
317010.83	6088725.68
316866.8	6088724.2
317012.58	6088787.31
317027.99	6088937.43
316805.3	6088917.92
316948.67	6088857.36
317010.63	6088807.02
316809.27	6088914.67
316808.23	6088863.16
316859.99	6088786.42
317004.57	6088809.89
316875.97	6088940
316900.72	6088719.89
317019.13	6088854.13
316807.94	6088855.05
316803.78	6088858.52
316939.85	6088750.1
316823.36	6088754.16
316938.78	6088802.56
317011.17	6088735.68
316966.28	6088738.43
316967.84	6088795.94
316808.62	6088879.7
316806.38	6088954.01
317026.14	6088871.48
316941.5	6088816.49
316983.02	6088899.12
317011.12	6088738.01
316880.36	6088862.41
316897.58	6088740.14
316975.82	6088761.37
317010.47	6088720.79
317011.94	6088760.44
316789.25	6088745.59
316811.76	6088921.94
316812.24	6088943.03
317005.01	6088824.11
316868.16	6088769.17
316875.8	6088836.24
316911.46	6088898.44
316791.17	6088816.65
316845.25	6088921.06
316844.72	6088902.08
316876.13	6088945.55
316939.29	6088822.22
317004.09	6088793.24
316975	6088725.51
317007.43	6088816.72
317011.13	6088733.01
317022.79	6088955.97
316802.25	6088879.68
316830.64	6088812.24
316968.17	6088815.26
316897.3	6088731.81
317020.54	6088918.97
317006.53	6088784.74
317019.7	6088853.04
316802.68	6088890.24
316790.65	6088797.33
316882.31	6088945.34
316902.21	6088780.73
316985.22	6088889.18
316916.81	6088881.13
316992.57	6088957.24
316829.73	6088776.37
316833.02	6088820.05
316945.91	6088854.75
316974.82	6088810.4
317019.79	6088893.43
316838.49	6088895.85
316848.46	6088950.76
316902.66	6088794.62
316989.64	6088917.9
316969.53	6088770.67
316831.55	6088767.53
316879.97	6088859.52
316983.13	6088902.45
316992.62	6088954.8
317009.51	6088767.94
316829.53	6088768.16
316880.49	6088874.06
316811.82	6088932.48
316845.63	6088933.5
316933.21	6088741.42
317005.05	6088822.11
316989.72	6088846.88
